species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
pabulinus,28.31539,56.16597,51,79,24,8867,221,-107,328,162,-57,162,-65,636,85,29,31,231,98,231,111
pabulinus,39.5,53.91666,48,88,22,10704,246,-139,385,181,-82,181,-90,547,81,26,32,197,86,197,101
pabulinus,39.5,54.5,47,86,22,10623,243,-139,382,179,-82,179,-91,573,85,27,33,206,90,206,106
pabulinus,145.55,43.73333,56,61,20,7870,201,-94,295,144,-44,157,-47,1095,161,39,36,403,154,386,159
pabulinus,147.41972,44.81611,44,52,18,7546,181,-98,279,129,-54,143,-54,1310,174,50,32,464,189,428,189
pabulinus,142.03333,47.03333,25,65,18,9989,196,-158,354,149,-52,149,-108,799,100,26,33,284,113,284,159
pabulinus,142.882,53.716,-12,75,17,12126,189,-232,421,96,-155,136,-173,691,93,34,34,260,107,244,130
pabulinus,142.7,47,26,66,18,10131,196,-161,357,119,-102,150,-110,857,112,42,32,313,133,303,156
pabulinus,146.00056,44.33667,34,53,18,7569,170,-110,280,120,-66,132,-66,1287,172,47,33,454,183,441,183
pabulinus,146.81666,43.85,52,53,19,7151,183,-85,268,136,-41,146,-41,1276,172,45,34,452,176,425,176
pabulinus,42.86861,44.03222,84,103,30,8550,261,-76,337,173,-18,192,-26,597,97,20,50,258,70,242,70
pabulinus,60.63639,54.84639,20,101,22,12518,250,-202,452,174,-127,174,-145,498,95,18,52,219,59,219,68
pabulinus,60.442,60.69,-5,110,22,12510,234,-246,480,152,-146,152,-174,520,89,16,50,225,61,225,67
pabulinus,84.969,56.424,8,97,21,12953,250,-211,461,172,-74,172,-162,535,72,20,38,205,70,205,89
pabulinus,92.2,51.4,-25,127,22,16343,247,-328,575,167,-226,167,-251,370,72,9,64,183,31,183,34
pabulinus,91.4,51.26667,-23,125,22,15414,239,-311,550,160,-210,160,-236,312,64,7,68,163,24,163,27
pabulinus,33.911,58.395,38,87,24,9493,225,-133,358,141,-33,159,-84,666,84,30,29,226,105,225,121
