species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
tripustulatus,68.2333,58.18333,0,93,19,12973,232,-236,468,161,-150,161,-173,480,73,15,47,203,54,203,65
tripustulatus,45.002,53.198,48,88,21,11492,258,-148,406,191,-33,191,-100,532,67,25,28,181,85,181,106
tripustulatus,39.3,48.55,85,86,23,10281,278,-89,367,197,-40,214,-47,488,62,27,25,160,94,157,111
tripustulatus,41.61666,51.66666,60,90,22,11014,263,-133,396,196,-16,196,-83,507,61,28,22,158,87,158,113
tripustulatus,23.23,42.55,61,93,32,6762,210,-73,283,93,116,145,-27,643,75,38,21,205,126,179,149
tripustulatus,44.75,40.53333,60,114,34,7652,234,-98,332,89,-40,154,-40,515,91,19,50,224,62,164,62
tripustulatus,39.83333,48.16666,81,88,23,10230,277,-93,370,192,-43,209,-50,515,61,29,23,168,99,161,120
tripustulatus,39.17,51.6664,65,88,23,10472,260,-118,378,194,-7,194,-71,569,72,30,26,195,99,195,120
tripustulatus,31.46056,59.30306,40,79,22,9231,221,-123,344,143,-72,159,-78,623,76,26,33,221,92,215,108
tripustulatus,46.73333,39.75,80,100,31,7750,250,-72,322,114,-21,177,-21,605,107,22,49,267,77,164,77
tripustulatus,42.83333,44.03333,82,103,30,8416,258,-77,335,169,-19,189,-26,613,102,20,52,270,68,255,68
tripustulatus,49.70722,58.66389,28,72,17,11154,232,-170,402,147,-41,169,-119,626,86,24,34,220,88,218,107
tripustulatus,18.08333,51.75,84,86,28,7546,240,-58,298,177,-6,177,-18,516,72,23,36,199,75,199,84
tripustulatus,16.23333,43.51666,139,80,31,6297,282,24,258,109,222,222,62,881,119,42,32,325,144,144,264
tripustulatus,53.8,56.46666,30,92,21,11710,250,-179,429,176,-46,176,-124,552,64,24,29,188,83,188,107
tripustulatus,55.55,55.41666,28,102,23,12122,252,-191,443,177,-51,177,-132,583,65,27,25,189,95,189,121
tripustulatus,33.88972,56.20694,41,83,23,9503,223,-127,350,161,-75,161,-81,641,88,27,34,241,93,241,109
tripustulatus,46.32944,60.77611,15,90,21,10739,228,-187,415,151,-111,151,-128,569,76,24,33,207,81,207,98
tripustulatus,49.16666,55.78333,38,84,20,11608,249,-167,416,182,-100,182,-115,534,68,24,32,195,85,195,98
tripustulatus,38.82917,47.21472,100,84,23,9798,285,-70,355,206,31,223,-26,536,61,30,21,166,108,163,138
tripustulatus,30.11666,49.8,77,82,24,8939,246,-83,329,187,-31,187,-40,621,87,34,31,227,116,227,129
tripustulatus,25.28333,54.68333,62,81,26,8321,223,-88,311,166,-39,166,-47,662,82,33,26,227,112,227,127
tripustulatus,45.18667,39.73472,95,117,31,8848,292,-81,373,135,203,204,-23,356,62,17,46,152,57,85,57
tripustulatus,22.37611,53.19778,69,82,25,8436,233,-85,318,172,-35,172,-45,571,75,26,33,213,86,213,97
tripustulatus,41.815,42.534,142,91,34,6427,279,13,266,198,126,222,59,1759,180,89,18,511,336,509,428
tripustulatus,40.62,43.1,144,83,32,6118,275,22,253,85,199,221,67,1447,151,93,14,426,310,338,388
