species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
punctatus,58.281,54.483,-8,111,23,12705,230,-237,467,147,-160,147,-176,570,92,26,39,228,84,228,94
punctatus,95.555,51.49,-37,140,23,16880,244,-350,594,159,-240,159,-271,363,84,6,75,197,24,197,27
punctatus,94.01,51.89,-60,128,22,15897,208,-353,561,128,-253,128,-278,682,125,17,58,313,64,313,64
punctatus,29.949,60.717,40,72,21,9019,217,-114,331,143,-30,158,-74,654,81,31,30,226,103,210,127
punctatus,141.24907,53.043098,-12,86,18,13624,209,-259,468,102,-171,153,-195,622,80,30,35,235,93,189,107
punctatus,73.98333,44.95,88,113,25,11675,313,-129,442,95,216,233,-67,180,23,3,40,64,16,28,46
punctatus,127.25,53.73333,-31,128,21,17193,256,-348,604,176,-212,176,-264,536,144,3,100,336,15,336,16
punctatus,68.241,58.336117,0,93,19,12959,232,-236,468,161,-149,161,-173,484,73,16,47,205,55,205,65
punctatus,131.927117,63.114459,-111,119,16,22345,254,-468,722,161,-347,161,-405,253,47,4,70,135,18,135,23
punctatus,124.825795,55.307371,-56,124,21,16793,235,-354,589,151,-232,151,-278,529,125,5,91,324,21,324,21
punctatus,131.285393,49.68333,-28,128,21,16933,250,-351,601,170,-265,170,-265,686,154,6,91,406,24,406,24
punctatus,138.553,51.132,-5,101,20,13955,222,-273,495,156,-167,161,-196,557,92,14,57,250,47,236,52
punctatus,127.1808,54.44022,-46,125,20,17260,244,-359,603,163,-226,163,-278,574,138,5,91,338,20,338,20
punctatus,128.8475,54.70917,-46,125,20,17760,248,-370,618,166,-229,166,-286,565,129,5,84,318,21,318,22
punctatus,142.85,49.26666,-1,85,20,11158,189,-226,415,104,-137,135,-154,751,116,25,45,317,90,297,101
punctatus,139.37,61.65,-158,107,17,18777,151,-456,607,73,-361,73,-400,492,103,9,76,268,28,268,31
punctatus,70.300624,53.087126,14,104,22,13211,255,-215,470,177,-145,177,-158,331,66,11,56,152,38,152,43
punctatus,117.68333,52.23333,-32,143,23,16799,251,-353,604,168,-264,168,-264,360,95,4,103,241,13,241,13
punctatus,28.2,58.75,47,73,22,8908,219,-106,325,145,-61,161,-68,646,81,28,33,231,95,223,111
